question_text,option_a,option_b,option_c,option_d,correct_index,section_name,year
What is the name of the programme that supports AI-based learning in government schools?,FLN-AXL,Smart EduTech,Vidya Connect,Digital India Learning,0,General Awareness,2024
What can happen if rocks are not weathered in the context of the movement of Earth's materials?,Mass movement would be more frequent,Soil fertility would improve,Erosion would increase,Erosion would be insignificant,3,General Awareness,2024
Which Indian state hosted the 38th National Games in 2025?,Bihar,Madhya Pradesh,Uttarakhand,Odisha,2,General Awareness,2024
In which of the following regions in India are Tropical Evergreen Forests found?,Punjab,Sunderbans,Western Ghats,Rajasthan,2,General Awareness,2024
"On 19 February 2025, which state's cabinet approved the Bhoo Kanoon (Land Law Amendment Bill) to regulate the purchase and sale of agricultural, horticultural and residential land by non-residents?",Jammu and Kashmir,Himachal Pradesh,Uttarakhand,Arunachal Pradesh,2,General Awareness,2024
Which region of India is most suitable for tea cultivation due to its climate and soil?,Punjab and Haryana,Assam and North Bengal,Western Rajasthan,Deccan Plateau,1,General Awareness,2024
Which of the following is the easternmost range of the Himalayas?,Zanskar,Purvanchal Range,Pir Panjal,Dhauladhar,1,General Awareness,2024
The distribution of population in India is:,denser in hilly regions,more in desert areas,uniform across all regions,"uneven, with variations across regions",3,General Awareness,2024
The desktop background is also known as:,icon,file,wallpaper,menu,2,General Awareness,2024
"In April 2025, which Indian cricketer was named for Wisden Leading Cricketers in the World 2024 who scored 1659 runs across formats in 2024?",Jemimah Rodrigues,Harmanpreet Kaur,Harleen Deol,Smriti Mandhana,3,General Awareness,2024
"Which sweetener, first used in 1879, has received FDA approval for use in fruit juice beverages?",Neotame,Sucralose,Saccharin,Aspartame,2,General Awareness,2024
"According to Ibn Battuta, a Moroccan traveller to India during the Delhi Sultanate, the method of postal system in which the royal horses were used to transfer packages, is called:",Dawa,Uluq,Mansabdari,Ikat,1,General Awareness,2024
Which State Government launched India’s first ferret research facility in February 2025?,Delhi,Rajasthan,Haryana,Punjab,2,General Awareness,2024
"At the Global Production Awards held on 20 May 2025 during the Cannes Film Festival, which city was honoured with the Best City of Film Award?",Edinburgh,Belfast,Cardiff,Dublin,1,General Awareness,2024
Which event marked the pivot moment in the extremist and moderate struggle during the Indian freedom struggle?,Partition of Bengal,Jallianwala Bagh Massacre,Champaran Satyagraha,Surat Split,3,General Awareness,2024
Which of the following best describes the public sector's role in the Indian economy during 1947-1991?,Focused only on foreign trade,Dominant in core and heavy industries,Only limited to agriculture,Minimal presence,1,General Awareness,2024
