question_text,option_a,option_b,option_c,option_d,correct_index,section_name,year
What does Ctrl + F help users to do?,Find text in the current document or webpage,Format the document,Forward an email,Find a file on the desktop,0,General Awareness,2024
Which of the following is cited as evidence for a highly centralised administration in the Indus-Sarasvati civilisation?,Elaborate royal tombs,Absence of seals and standard script,Standardised weights and measures,Monumental palaces and temples,2,General Awareness,2024
The February 2025 Technology Adoption Fund launched by IN-SPACe has earmarked,₹500 crore,₹100 crore,"₹1,000 crore",₹250 crore,0,General Awareness,2024
Who was appointed as the Chief Election Commissioner of India in February 2025?,Sunil Arora,Sushil Chandra,Gyanesh Kumar,Rajiv Kumar,2,General Awareness,2024
Which non-constitutional body investigates corruption complaints against public servants?,Union Public Service Commission,Election Commission,Lokpal,Finance Commission,2,General Awareness,2024
"To harden the steel, which material is required in the steel industry?",Bauxite,Limestone,Manganese,Mica,2,General Awareness,2023
Who among the following won a maiden Italian Open title in May 2025 by defeating world No. 1 Jannik Sinner in Rome?,Daniil Medvedev,Carlos Alcaraz,Rafael Nadal,Novak Djokovic,1,General Awareness,2023
Which of the following is NOT a function under the Twelfth Schedule of the Constitution?,Urban planning,Foreign trade promotion,Urban poverty alleviation,Public health,1,General Awareness,2023
Which of the following is considered a major challenge to human development in India?,Persistent regional disparities,High foreign exchange reserves,Increasing digital infrastructure,Rapid urbanisation,0,General Awareness,2023
In which city was the agreement signed in March 2025 to resolve the border dispute between Kyrgyzstan and Tajikistan?,Osh,Batken,Dushanbe,Bishkek,3,General Awareness,2023
Which among the following state lies in the south of the Great Indian Desert?,Gujarat,Madhya Pradesh,Uttar Pradesh,Haryana,0,General Awareness,2023
"Where was Exercise Dharma Guardian, 2025, held?","Pune, India","Tokyo, Japan","East Fuji, Japan","New Delhi, India",2,General Awareness,2023
"Lala Lajpat Rai, Indian revolutionary politician and author was also recognised by which of the following title?",Tilak of Punjab,Dashbandhu,Punjab Kesari,Mahamana,2,General Awareness,2023
"If we derive an expression for velocity, its dimension should be ______",M^0L^1T^-1,M^-1L^-1T^-2,M^-1L^-1T^-1,M^0L^1T^-1,3,General Awareness,2023
"When referring to the conventional rod puppet shows of West Bengal, what is the name used?",Putul Nautch,Gombeyatta,Yakshagana,Kathputli,0,General Awareness,2023
Which valuable tree grows mainly in the western Himalayas and is used in construction?,Rhododendron,Magnolia,Cinchona,Deodar,3,General Awareness,2023
